id,extraction_datetime,source_name,date,time,datetime,cat_gorie,montant,avances_7_jours,pension_livr_e_lt,indices,volume_march_central,volume_march_de_blocs,volume_introductions,volume_offres_publiques,volume_transferts,volume_apports,volume_augmentations_du_capital,volume_pr_t_titre,total
1,2025-05-05 10:14:39.214653,Source2,,,,Actions,69105954958.6876,,,,,,,,,,,,
2,2025-05-05 10:14:39.214653,Source2,,,,Diversifiés,93016136021.4466,,,,,,,,,,,,
3,2025-05-05 10:14:39.214653,Source2,,,,Monétaire,104032785011.45,,,,,,,,,,,,
4,2025-05-05 10:14:39.214653,Source2,,,,Obligations CT,110990748661.905,,,,,,,,,,,,
5,2025-05-05 10:14:39.214653,Source2,,,,Obligations MLT,360495023349.03,,,,,,,,,,,,
6,2025-05-05 10:14:39.214653,Source2,,,,Contractuel,12431657182.33,,,,,,,,,,,,
7,2025-05-05 10:14:39.214653,Source2,,,,Total,750072305184.849,,,,,,,,,,,,
8,2025-05-05 10:11:15.981751,Source31,2025-05-05,,,,,49130.0,41277.0,,,,,,,,,,
9,2025-05-05 10:09:16.084253,Source3,,,,Actions1,,,,957.818242774518,,,,,,,,,
10,2025-05-05 10:09:16.084253,Source3,,,,Diversifiés1,,,,671.763119566805,,,,,,,,,
11,2025-05-05 10:09:16.084253,Source3,,,,Monétaire2,,,,173.788395090891,,,,,,,,,
12,2025-05-05 10:09:16.084253,Source3,,,,Obligations CT2,,,,187.050426315059,,,,,,,,,
13,2025-05-05 10:09:16.084253,Source3,,,,Obligations MLT2,,,,238.096021581366,,,,,,,,,
14,2025-05-05 10:09:28.902074,Source8,2025-02-05,,,,,,,,159894196.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159894196.19
